TimeStamp,A,B,C,D,E,F
19980102,7.11535,8.74526,12.73,23.2635,15.7281,27.9857
19980105,7.06904,8.70851,12.6463,23.7137,15.9773,28.6798
19980106,6.85696,8.76222,12.5025,22.6569,16.0778,28.5687
19980107,6.7034,9.18619,12.2717,22.7224,16.0778,28.2008
19980108,6.59614,9.18619,12.5025,22.0481,15.8286,28.0064
19980109,6.27682,8.95725,11.9774,21.5598,15.3744,27.5066
19980112,6.15494,8.90354,12.2082,21.6127,15.8768,28.5271
19980113,6.88622,8.79896,12.0844,21.9699,15.8527,28.18
19980114,7.03978,9.11553,12.459,22.0883,15.9773,27.9405
19980115,7.06904,9.04487,12.3553,21.8769,16.0537,27.7253
19980116,7.17629,8.95725,12.3553,22.2341,16.1301,27.4858
19980120,7.2226,9.04487,12.5627,22.6167,16.757,28.0064
19980121,7.23723,8.88658,12.1245,22.194,16.2788,28.1602
19980122,6.9179,8.77918,12.0844,22.0756,16.0778,27.7668
19980123,6.85696,8.77918,11.8537,21.9044,15.8527,27.2899
19980126,6.79602,8.88658,11.9373,21.6402,15.5513,27.3107
19980127,7.03978,8.94029,12.2082,22.2341,15.8005,28.223
19980128,7.28354,9.04487,12.2517,22.4053,16.3029,27.5719
19980129,7.98314,9.01095,12.3118,22.5639,16.1542,27.1366
19980130,7.93682,8.99116,12.2517,22.6695,16.0296,27.2655
19980202,8.72904,9.08161,12.459,23.4368,16.4034,27.6589
19980203,8.40971,9.13249,12.837,24.109,16.958,28.31
19980204,8.77535,9.02791,12.9327,24.1766,17.3359,28.0071
19980205,8.5316,9.04487,12.8083,24.2295,17.1832,27.7668
19980206,8.38046,9.01095,13.0805,24.7177,17.2836,28.6373
19980209,8.27321,9.04487,12.9763,25.5231,17.0827,28.3553
19980210,8.62422,9.04487,13.1644,25.3392,17.3077,28.8566
19980211,8.91186,9.08161,13.3323,25.299,17.2595,29.1178
19980212,8.65347,9.20315,13.3323,25.2588,17.9388,29.1804
19980213,8.62422,9.11553,13.2283,24.9819,17.7378,29.466
19980217,8.50234,8.94029,13.3525,25.4047,17.9871,29.0063
19980218,8.54622,9.16219,13.4164,25.7746,18.3407,29.3998
19980219,8.7461,9.23334,13.2686,25.2588,18.1639,28.7034
19980220,8.98986,9.35858,13.2484,25.3518,18.2121,29.0063
19980223,9.15562,9.33866,13.3962,25.6161,18.5417,29.1386
19980224,8.9728,9.21627,13.2887,25.3392,18.8432,28.8566
19980225,9.00449,9.37566,13.5003,25.8274,19.1446,28.9645
19980226,9.46032,9.44681,13.7724,26.1445,18.9678,29.0516
19980227,9.33844,9.50089,13.7724,26.1973,18.6141,29.64
19980302,9.23362,9.51797,13.7926,26.1318,18.8673,28.7243
19980303,8.95817,9.60621,13.9,26.4489,19.4461,28.6373
19980304,8.8363,9.58913,13.9404,25.9331,19.4943,28.5711
19980305,8.63885,9.57205,14.0042,25.4448,19.6953,28.115
19980306,8.91186,9.81968,14.5719,25.7746,20.1736,29.0934
19980309,8.59254,9.87376,14.404,25.0749,20.5756,29.64
19980310,8.59254,9.96199,14.6122,25.6816,20.4992,30.0091
19980311,8.88261,9.97907,14.5282,26.396,20.4509,30.1379
19980312,9.01911,9.87376,14.5282,26.5144,20.6238,29.3127
19980313,9.18731,9.90791,14.4442,26.4489,20.5997,28.6373
19980316,9.09468,9.69444,14.5921,27.1485,20.7002,28.6825
19980317,8.9728,9.66029,14.5282,28.4822,20.6761,29.0934
19980318,9.29456,9.7656,14.4442,29.1565,20.4055,29.4868
19980319,9.32381,9.87376,14.6962,28.5753,20.2284,29.6818
19980320,9.01911,9.8026,14.6122,28.5351,20.0512,29.748
19980323,9.00449,9.62329,14.2763,28.0341,19.8782,30.0091
19980324,9.26287,9.60621,14.4241,28.3512,20.2284,30.1832
19980325,9.32381,9.53505,14.0882,28.0595,19.9023,29.6818
